HID,Type,Kodomo,Name,Label,AgeS,AgeE,Full,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Add1,Add2,TEL,FAX,Owner,Ownership,Proof,Shanai,Y,X,url,Vacancy,VacancyDate
T-114,幼稚園,,大泉幼稚園,大泉幼稚園,,就学前,230,,,,,,,,,富山市,大泉東部1466,076-421-7850,,,,,,36.6791,137.23035,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-115,幼稚園,,あさひ幼稚園,あさひ幼稚園,,就学前,460,,,,,,,,,富山市,東石金町8-28,076-425-1184,,,,,,36.683975,137.2413583,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-116,幼稚園,,富山市清水町幼稚園,富山市清水町幼稚園,,就学前,105,,,,,,,,,富山市,清水町八丁目1-21,076-423-2218,,,,,,36.68594444,137.2245583,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-117,幼稚園,,立正幼稚園,立正幼稚園,,就学前,276,,,,,,,,,富山市,梅沢町二丁目10-5,076-423-7380,,,,,,36.68280833,137.2192611,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-118,幼稚園,,紅葉ガ丘幼稚園,紅葉ガ丘幼稚園,,就学前,160,,,,,,,,,富山市,愛宕町二丁目7-23,076-442-1770,,,,,,36.69775278,137.205725,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-119,幼稚園,,愛護幼稚園,愛護幼稚園,,就学前,280,,,,,,,,,富山市,山王町4-49,076-423-4342,,,,,,36.68688056,137.2129806,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-120,幼稚園,,堀川幼稚園,堀川幼稚園,,就学前,280,,,,,,,,,富山市,大町1区西部3,076-423-3735,,,,,,36.66983333,137.2238,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-121,幼稚園,,富山市五番町幼稚園,富山市五番町幼稚園,,就学前,145,,,,,,,,,富山市,古鍛治町2-22,076-421-8759,,,,,,36.68773889,137.2179917,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-122,幼稚園,,新庄幼稚園,新庄幼稚園,,就学前,210,,,,,,,,,富山市,新庄町102,076-451-9777,,,,,,36.7036,137.25445,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-123,幼稚園,,文化幼稚園,文化幼稚園,,就学前,190,,,,,,,,,富山市,窪本町3-5,076-432-4284,,,,,,36.7034,137.2294806,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-124,幼稚園,,白藤幼稚園,白藤幼稚園,,就学前,320,,,,,,,,,富山市,中島三丁目3-84,076-431-2869,,,,,,36.72141667,137.2218,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-125,幼稚園,,若葉幼稚園,若葉幼稚園,,就学前,180,,,,,,,,,富山市,中川原193-2,076-423-1152,,,,,,36.67095,137.2496583,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-126,幼稚園,,富山カワイ幼稚園,富山カワイ幼稚園,,就学前,240,,,,,,,,,富山市,向新庄町五丁目5-6,076-451-5884,,,,,,36.70564167,137.2651528,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-127,幼稚園,,晴雲幼稚園,晴雲幼稚園,,就学前,140,,,,,,,,,富山市,草島331,076-435-2626,,,,,,36.74831389,137.2100472,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-128,幼稚園,,まどか幼稚園,まどか幼稚園,,就学前,200,,,,,,,,,富山市,北代4139,076-436-5411,,,,,,36.71739444,137.1768778,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-129,幼稚園,,富山短期大学付属みどり野幼稚園,富山短期大学付属みどり野幼稚園,,就学前,84,,,,,,,,,富山市,願海寺水口444,076-434-0898,,,,,,36.72161111,137.1399611,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-130,幼稚園,,藤園南幼稚園,藤園南幼稚園,,就学前,230,,,,,,,,,富山市,朝莱町1-15,076-425-2200,,,,,,36.65473333,137.2256167,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-131,幼稚園,,藤ノ木幼稚園（藤ノ木こども園）,藤ノ木幼稚園,,就学前,280,,,,,,,,,富山市,藤木1291,076-492-3355,,,,,,36.68776389,137.2683361,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-132,幼稚園,,さみどり幼稚園（さみどり認定こども園）,さみどり幼稚園,,就学前,200,,,,,,,,,富山市,千原崎二丁目4-23,076-438-3878,,,,,,36.74536667,137.2309056,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-133,幼稚園,,めぐみ幼稚園,めぐみ幼稚園,,就学前,130,,,,,,,,,富山市,太田北区159,076-423-2531,,,,,,36.66371111,137.2418556,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-134,幼稚園,,あけぼの幼稚園,あけぼの幼稚園,,就学前,100,,,,,,,,,富山市,中田二丁目2-20,076-437-4231,,,,,,36.74833333,137.2464917,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-135,幼稚園,,リンデ幼稚園,リンデ幼稚園,,就学前,100,,,,,,,,,富山市,八尾町高善寺164,076-454-2621,,,,,,36.60875833,137.1364333,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-136,幼稚園,,紫幼稚園,紫幼稚園,,就学前,160,,,,,,,,,富山市,婦中町下轡田103-1,076-465-6145,,,,,,36.66401667,137.1736861,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-137,幼稚園,,富山大学人間発達科学部附属幼稚園,富大附属幼稚園,,就学前,160,,,,,,,,,富山市,五艘1300,076-445-2812,,,,,,36.70638611,137.1966861,http://www.city.toyama.toyama.jp/kyoikuiinkai/gakkokyoikuka/yochienninyuensuru_2_2_2.html,,
T-201,認可保育所,,朝日保育所,朝日保育所,,,70,,,,,,,,,富山市,婦中町友坂417-2,076-469-2379,,,,,,36.67764,137.15117,,,
T-202,認可保育所,,愛宕保育所,愛宕保育所,,,100,,,,,,,,,富山市,神通町2-9-13,076-432-5052,,,,,,36.70212,137.20535,,,
T-203,認可保育所,,池多保育所,池多保育所,,,45,,,,,,,,,富山市,西押川1492,076-436-6200,,,,,,36.68334,137.11989,,,
T-204,認可保育所,,稲荷元町保育所,稲荷元町保育所,,,110,,,,,,,,,富山市,稲荷元町2-13-13,076-441-6719,,,,,,36.69578,137.23219,,,
T-205,認可保育所,,岩瀬保育所,岩瀬保育所,,,90,,,,,,,,,富山市,岩瀬御蔵町1,076-437-9675,,,,,,36.75392,137.23068,,,
T-206,認可保育所,,老田保育所,老田保育所,,,95,,,,,,,,,富山市,中老田315,076-436-5201,,,,,,36.7075,137.13333,,,
T-207,認可保育所,,大久保保育所,大久保保育所,,,185,,,,,,,,,富山市,下大久保311,076-468-2670,,,,,,36.61058,137.20729,,,
T-208,認可保育所,,大沢野西部保育所,大沢野西部保育所,,,80,,,,,,,,,富山市,上二杉591,076-468-2086,,,,,,36.59024,137.20132,,,
T-209,認可保育所,,太田保育所,太田保育所,,,90,,,,,,,,,富山市,城村168-3,076-424-0564,,,,,,36.64754,137.26688,,,
T-210,認可保育所,,大山中央保育所,大山中央保育所,,,70,,,,,,,,,富山市,中滝16,076-483-1805,,,,,,36.61114,137.29611,,,
T-211,認可保育所,,音川保育所,音川保育所,,,60,,,,,,,,,富山市,婦中町外輪野832,076-469-2001,,,,,,36.63583,137.09512,,,
T-212,認可保育所,,呉羽保育所,呉羽保育所,,,150,,,,,,,,,富山市,呉羽町4990,076-434-2446,,,,,,36.71516,137.17157,,,
T-213,認可保育所,,黒瀬谷保育所,黒瀬谷保育所,,,45,,,,,,,,,富山市,八尾町村杉1,076-454-2860,,,,,,36.5732,137.15852,,,
T-214,認可保育所,,笹津保育所,笹津保育所,,,30,,,,,,,,,富山市,笹津361,076-468-2654,,,,,,36.56084,137.21208,,,
T-215,認可保育所,,寒江保育所,寒江保育所,,,60,,,,,,,,,富山市,本郷中部264,076-436-5611,,,,,,36.73038,137.15146,,,
T-216,認可保育所,,三郷保育所,三郷保育所,,,70,,,,,,,,,富山市,水橋小路338-1,076-478-2207,,,,,,36.72044,137.29286,,,
T-217,認可保育所,,清水保育所,清水保育所,,,115,,,,,,,,,富山市,旭10-17,076-423-1630,,,,,,36.68607,137.2282,,,
T-218,認可保育所,,上条保育所,上条保育所,,,50,,,,,,,,,富山市,水橋石割72-2,076-478-1008,,,,,,36.72292,137.3129,,,
T-219,認可保育所,,新庄保育所,新庄保育所,,,155,,,,,,,,,富山市,新庄町3-4-20,076-432-7290,,,,,,36.69836,137.25182,,,
T-220,認可保育所,,月岡保育所,月岡保育所,,,130,,,,,,,,,富山市,月見町4-41,076-429-4263,,,,,,36.62965,137.24583,,,
T-221,認可保育所,,長岡保育所,長岡保育所,,,70,,,,,,,,,富山市,長岡9397-6,076-432-2593,,,,,,36.71866,137.1906,,,
T-222,認可保育所,,浜黒崎保育所,浜黒崎保育所,,,90,,,,,,,,,富山市,古志町3-1-3,076-437-9845,,,,,,36.75491,137.27399,,,
T-223,認可保育所,,雲雀ヶ丘保育所,雲雀ヶ丘保育所,,,110,,,,,,,,,富山市,鹿島町1-3-16,076-424-0472,,,,,,36.69173,137.20485,,,
T-224,認可保育所,,福島保育所,福島保育所,,,130,,,,,,,,,富山市,八尾町福島80,076-454-6367,,,,,,36.58972,137.13879,,,
T-225,認可保育所,,双葉保育所,双葉保育所,,,80,,,,,,,,,富山市,草島256-1,076-435-0222,,,,,,36.74458,137.21075,,,
T-226,認可保育所,,婦中熊野保育所,婦中熊野保育所,,,150,,,,,,,,,富山市,婦中町中名479,076-466-2301,,,,,,36.64151,137.16772,,,
T-227,認可保育所,,船峅保育所,船峅保育所,,,50,,,,,,,,,富山市,坂本482,076-468-2659,,,,,,36.58337,137.22179,,,
T-228,認可保育所,,古里保育所,古里保育所,,,110,,,,,,,,,富山市,婦中町羽根152-1,076-469-3177,,,,,,36.65493,137.13136,,,
T-229,認可保育所,,古沢保育所,古沢保育所,,,60,,,,,,,,,富山市,古沢498,076-434-1079,,,,,,36.69162,137.1402,,,
T-230,認可保育所,,ほそいり保育所,ほそいり保育所,,,45,,,,,,,,,富山市,楡原704-2,076-485-2010,,,,,,36.52685,137.21503,,,
T-231,認可保育所,,堀川保育所,堀川保育所,,,160,,,,,,,,,富山市,堀川小泉町1-16-24,076-421-9456,,,,,,36.67573,137.22032,,,
T-232,認可保育所,,水橋西部保育所,水橋西部保育所,,,70,,,,,,,,,富山市,水橋辻ヶ堂667,076-478-0577,,,,,,36.75123,137.2986,,,
T-233,認可保育所,,水橋東部保育所,水橋東部保育所,,,40,,,,,,,,,富山市,水橋小池391,076-478-3251,,,,,,36.74024,137.3264,,,
T-234,認可保育所,,宮川保育所,宮川保育所,,,80,,,,,,,,,富山市,婦中町広田5101,076-466-2203,,,,,,36.62489,137.16759,,,
T-235,認可保育所,,八尾保育所,八尾保育所,,,110,,,,,,,,,富山市,八尾町下笹原5225,076-454-2203,,,,,,36.57099,137.14378,,,
T-236,認可保育所,,柳町保育所,柳町保育所,,,110,,,,,,,,,富山市,於保多町1-23,076-432-7051,,,,,,36.69394,137.22545,,,
T-237,認可保育所,,山田保育所,山田保育所,,,45,,,,,,,,,富山市,山田中村1000,076-457-2553,,,,,,36.58273,137.06436,,,
T-238,認可保育所,,和合保育所,和合保育所,,,80,,,,,,,,,富山市,布目4173,076-435-0386,,,,,,36.74408,137.18938,,,
T-239,認可保育所,,福沢保育所（へき地保育所）,福沢保育所（へき地保育所）,,,30,,,,,,,,,富山市,東福沢1728-1,076-483-1102,,,,,,36.60229,137.25587,,,
T-240,認可保育所,,富山認定こども園（保育所型認定こども園）,富山認定こども園,,,96,,,,,,,,,富山市,豊丘町28-20,076-437-9494,,,,,,36.72752,137.23341,,,
T-241,認可保育所,,西田地方保育園,西田地方保育園,,,220,,,,,,,,,富山市,西田地方町二丁目10-30 ,076-421-7481,,,,,,36.68201,137.20552,,,
T-242,認可保育所,,とよた保育園,とよた保育園,,,200,,,,,,,,,富山市,豊田本町一丁目2-3,076-438-5171,,,,,,36.72975,137.23483,,,
T-301,認可保育所,Y,幼保連携型認定こども園さみどり認定こども園,さみどり認定こども園,,,230,,,,,,,,,富山市,千原崎2-4-23,076-438-3878,,,,,,36.74593,137.23058,,,
T-302,認可保育所,Y,幼保連携型認定こども園藤ノ木こども園,藤ノ木こども園,,,400,,,,,,,,,富山市,藤木1291,076-492-3355,,,,,,36.6879,137.26758,,,
T-303,認可保育所,Y,幼保連携型認定こども園青い鳥保育園,青い鳥保育園,,,80,,,,,,,,,富山市,上大久保892,076-467-0928,,,,,,36.59698,137.2066,,,
T-304,認可保育所,Y,大沢野ちゅうおうこども園,大沢野ちゅうおうこども園,,,105,,,,,,,,,富山市,西大沢148-3,076-468-2656,,,,,,36.5737,137.2076,,,
T-305,認可保育所,Y,幼保連携型認定こども園桜谷保育園,桜谷保育園,,,175,,,,,,,,,富山市,石坂新68-3,076-432-4755,,,,,,36.71519,137.19797,,,
T-306,認可保育所,Y,幼保連携型認定こども園城南もなみ学園,城南もなみ学園,,,205,,,,,,,,,富山市,太郎丸本町3-2-6,076-493-1234,,,,,,36.67646,137.21233,,,
T-307,認可保育所,Y,幼保連携型認定こども園しんでん保育園,しんでん保育園,,,145,,,,,,,,,富山市,八尾町新田236-2,076-454-2746,,,,,,36.61076,137.127,,,
T-308,認可保育所,Y,神明こども園,神明こども園,,,110,,,,,,,,,富山市,高田91-2,076-421-0761,,,,,,36.68557,137.18689,,,
T-309,認可保育所,Y,幼保連携型認定こども園杉原こども園,杉原こども園,,,375,,,,,,,,,富山市,八尾町黒田2630,076-454-3406,,,,,,36.6001,137.16159,,,
T-310,認可保育所,Y,幼保連携型認定こども園のぞみ保育園,のぞみ保育園,,,113,,,,,,,,,富山市,東田地方町1-5-27,076-441-8481,,,,,,36.69529,137.21967,,,
T-311,認可保育所,Y,幼保連携型認定こども園はりはら保育園,はりはら保育園,,,165,,,,,,,,,富山市,針原中町847-1-1,076-451-1768,,,,,,36.73122,137.26924,,,
T-312,認可保育所,Y,幼保連携型認定こども園堀川南保育園,堀川南保育園,,,185,,,,,,,,,富山市,大町16-1,076-492-2201,,,,,,36.66777,137.21877,,,
T-313,認可保育所,Y,幼保連携型認定こども園まつわか保育園,まつわか保育園,,,150,,,,,,,,,富山市,松若町16-37,076-441-8371,,,,,,36.71706,137.22752,,,
T-314,認可保育所,Y,やまむろこども園,やまむろこども園,,,169,,,,,,,,,富山市,山室5-3,076-421-3362,,,,,,36.67264,137.23962,,,
T-315,認可保育所,Y,幼保連携型認定こども園わかば保育園,わかば保育園,,,194,,,,,,,,,富山市,堀川町55,076-424-8833,,,,,,36.66068,137.22044,,,
T-316,認可保育所,Y,幼保連携型認定こども園奥田保育園,奥田保育園,,,146,,,,,,,,,富山市,奥田寿町10-2,076-431-0606,,,,,,36.70663,137.21811,,,
T-317,認可保育所,Y,幼保連携認定こども園常盤台保育園,常盤台保育園,,,220,,,,,,,,,富山市,経堂367-2,076-424-9121,,,,,,36.69127,137.25233,,,
T-318,認可保育所,Y,認定こども園いちい保育園,いちい保育園,,,220,,,,,,,,,富山市,布市682－1,076-429-6161,,,,,,36.64409,137.23486,,,
T-319,認可保育所,Y,幼保連携型認定こども園わかくさ保育園,わかくさ保育園,,,402,,,,,,,,,富山市,町村166-4,076-492-1193,,,,,,36.6763,137.25572,,,
T-320,認可保育所,Y,幼保連携型認定こども園愛和こども園,愛和こども園,,,110,,,,,,,,,富山市,水橋肘崎57-1,076-478-1150,,,,,,36.7314,137.29277,,,
T-321,認可保育所,Y,認定こども園めぐみこども園,めぐみこども園,,,156,,,,,,,,,富山市,上赤江町1-12-5,076-441-2305,,,,,,36.7094,137.23207,,,
T-322,認可保育所,Y,幼保連携型認定こども園四方こども園,四方こども園,,,146,,,,,,,,,富山市,四方608-1,076-435-0098,,,,,,36.75422,137.19472,,,
T-323,認可保育所,Y,認定こども園ひろたこども園,ひろたこども園,,,209,,,,,,,,,富山市,鍋田17-55,076-451-5430,,,,,,36.71478,137.24507,,,
T-324,認可保育所,Y,認定こども園おおひろたこども園,おおひろたこども園,,,180,,,,,,,,,富山市,海岸通165-1,076-437-9923,,,,,,36.75615,137.25232,,,
T-325,認可保育所,Y,幼保連携型認定こども園新庄さくら保育園,新庄さくら保育園,,,135,,,,,,,,,富山市,新庄銀座二丁目7-12,076-452-0139,,,,,,36.71204,137.26338,,,
T-326,認可保育所,Y,幼保連携型認定こども園ガンバ村保育園,ガンバ村保育園,,,135,,,,,,,,,富山市,新庄町二丁目15-33,076-442-0088,,,,,,36.69955,137.25603,,,
T-327,認可保育所,Y,幼保連携型認定大沢野こども園,大沢野こども園,,,200,,,,,,,,,富山市,上大久保267-5,076-468-2658,,,,,,36.59112,137.20816,,,
T-328,認可保育所,Y,幼保連携型認定こども園鵜坂保育園,鵜坂保育園,,,229,,,,,,,,,富山市,婦中町上田島2,076-466-2321,,,,,,36.6692,137.1718,,,
T-329,認可保育所,Y,幼保連携型認定こども園じんぼ保育園,じんぼ保育園,,,210,,,,,,,,,富山市,婦中町上吉川400,076-469-2970,,,,,,36.63936,137.13693,,,
T-330,認可保育所,Y,幼保連携型認定こども園ささくら保育園,ささくら保育園,,,200,,,,,,,,,富山市,婦中町笹倉106-1,076-466-2253,,,,,,36.65896,137.15323,,,
T-331,認可保育所,Y,幼保連携型認定こども園アームストロング青葉幼稚園,アームストロング青葉幼稚園,,,114,,,,,,,,,富山市,丸の内２－８－１,076-421-4090,,,,,,36.69065,137.20859,,,
T-332,認可保育所,Y,幼保連携型認定こども園藤園幼稚園,藤園幼稚園,,,85,,,,,,,,,富山市,赤江町６－７,076-432-2292,,,,,,36.70029,137.21858,,,
T-333,認可保育所,Y,幼保連携型認定こども園藤園南幼稚園,藤園南幼稚園,,,135,,,,,,,,,富山市,朝菜町一丁目15,076-425-2200,,,,,,36.65471,137.22588,,,
T-334,認可保育所,Y,幼保連携型認定こども園晴雲幼稚園,晴雲幼稚園,,,188,,,,,,,,,富山市,草島331,076-435-2626,,,,,,36.74807,137.2103,,,
T-335,認可保育所,Y,幼保連携型認定こども園富山聖マリア保育園,富山聖マリア保育園,,,130,,,,,,,,,富山市,星井町3-9-1,076-421-6962,,,,,,36.68252,137.21426,,,
T-336,認可保育所,Y,幼保連携型認定こども園なでしこ保育園,なでしこ保育園,,,159,,,,,,,,,富山市,牛島新町7-3,076-431-2563,,,,,,36.70201,137.21654,,,
T-337,認可保育所,Y,幼保連携型認定こども園かたかご保育園,かたかご保育園,,,170,,,,,,,,,富山市,五福九区4323,076-433-2622,,,,,,36.70094,137.19234,,,
T-338,認可保育所,Y,幼保連携型認定こども園にながわ保育園,にながわ保育園,,,180,,,,,,,,,富山市,上袋1-1,076-421-1701,,,,,,36.65562,137.22049,,,
T-339,認可保育所,Y,幼保連携型認定こども園萩浦保育園,萩浦保育園,,,145,,,,,,,,,富山市,高畠町2-3-23,076-437-7081,,,,,,36.7479,137.23064,,,
T-340,認可保育所,Y,幼保連携型認定こども園くまのこども園,くまのこども園,,,165,,,,,,,,,富山市,悪王寺51,076-429-4213,,,,,,36.63259,137.2175,,,
T-341,認可保育所,Y,幼保連携型認定こども園みずはしこども園,みずはしこども園,,,104,,,,,,,,,富山市,水橋中村町203-1,076-478-0479,,,,,,36.75647,137.30917,,,
T-342,認可保育所,Y,幼保連携型認定こども園ピノキオナースリースクール,ピノキオナースリースクール,,,135,,,,,,,,,富山市,婦中町上轡田35-1,076-466-6300,,,,,,36.66341,137.17935,,,
T-343,認可保育所,Y,幼保連携型認定こども園婦中もなみ保育園,婦中もなみ保育園,,,215,,,,,,,,,富山市,婦中町羽根1136-1,076-469-2000,,,,,,36.65644,137.13524,,,
T-344,認可保育所,Y,幼保連携型認定こども園みかど保育園,みかど保育園,,,190,,,,,,,,,富山市,婦中町速星1032-1,076-466-2258,,,,,,36.65651,137.16081,,,
T-345,認可保育所,Y,認定こども園立正幼稚園,立正幼稚園,,,174,,,,,,,,,富山市,梅沢町2-10-5,076-432-7380,,,,,,36.68287,137.2195,,,
T-346,認可保育所,Y,幼保連携型認定こども園白藤幼稚園,白藤幼稚園,,,185,,,,,,,,,富山市,中島4-3-84,076-431-2869,,,,,,36.72625,137.22589,,,
T-347,認可保育所,Y,幼保連携型認定こども園リンデ幼稚園,リンデ幼稚園,,,45,,,,,,,,,富山市,八尾町高善寺164,076-454-2621,,,,,,36.60875,137.13629,,,
T-348,認可保育所,Y,幼保連携型認定こども園東山保育園,東山保育園,,,140,,,,,,,,,富山市,吉作4303-1,076-436-6810,,,,,,36.70588,137.16368,,,
T-349,認可保育所,Y,幼保連携型認定こども園富山幼稚園,富山幼稚園,,,110,,,,,,,,,富山市,梅沢町3-19-27,076-421-5000,,,,,,36.68276,137.22093,,,
T-350,認可保育所,Y,幼保連携型認定こども園光陽もなみ保育園,光陽もなみ保育園,,,232,,,,,,,,,富山市,布瀬町南2-3-6,076-421-4964,,,,,,36.67662,137.20403,,,
T-351,認可保育所,Y,幼保連携型認定こども園ひかり保育園,ひかり保育園,,,95,,,,,,,,,富山市,五福一区545,076-441-5919,,,,,,36.70555,137.18983,,,
T-352,認可保育所,Y,幼保連携型認定こども園新庄幼稚園,新庄幼稚園,,,240,,,,,,,,,富山市,新庄町102,076-451-9777,,,,,,36.70351,137.25459,,,
T-353,認可保育所,Y,認定こども園徳風幼稚園,徳風幼稚園,,,225,,,,,,,,,富山市,総曲輪2-7-12,076-421-4045,,,,,,36.69107,137.21414,,,
T-354,認可保育所,Y,石金こども園,石金こども園,,,295,,,,,,,,,富山市,石金3-2-37,076-421-0884,,,,,,36.68678,137.23753,,,
T-355,認可保育所,Y,幼保連携型認定こども園おおしょう保育園,おおしょう保育園,,,145,,,,,,,,,富山市,田畠493-2,076-483-1007,,,,,,36.61793,137.2789,,,
T-356,認可保育所,Y,幼保連携型認定こども園上滝保育園,上滝保育園,,,89,,,,,,,,,富山市,上滝499,076-483-1043,,,,,,36.61039,137.3007,,,
T-357,認可保育所,Y,幼保連携型認定こども園まどか幼稚園,まどか幼稚園,,,120,,,,,,,,,富山市,北代4139,076-436-5411,,,,,,36.71729,137.17743,,,
T-358,認可保育所,Y,認定こども園文化幼稚園,文化幼稚園,,,147,,,,,,,,,富山市,窪本町3-5,076-432-4284,,,,,,36.70304,137.22971,,,
T-359,認可保育所,Y,幼保連携型認定こども園めぐみ幼稚園,めぐみ幼稚園,,,150,,,,,,,,,富山市,太田北区159,076-423-2531,,,,,,36.66294,137.24217,,,
